Maker,Model,Adv_year,Adv_month,Color,Reg_year,Bodytype,Runned_Miles,Engin_size,Gearbox,Fuel_type,Price,Seat_num,Door_num,issue,issue_id,Adv_day,breakdown_date,repair_complexity,repair_cost,repair_hours,Claim,category_anomaly,repair_date
Chevrolet,Spark,2018,4,Silver,2013,Hatchback,46000,1.0L,Manual,Petrol,2995,5,5,Flat Tyres,0,6,4/6/18,1,20.8985,1,0,0,4/6/18
Chevrolet,Spark,2018,5,Silver,2013,Hatchback,43961,1.2L,Manual,Petrol,3998,5,5,Excessive Emissions,0,4,5/4/18,1,23.5982,1,0,0,5/4/18
Fiat,500,2018,4,Red,2016,Hatchback,20341,1.2L,Manual,Petrol,6900,4,3,Excessive Emissions,0,2,4/2/18,1,26.21,1,0,0,4/2/18
Dacia,Duster,2018,8,White,2014,SUV,41861,1.5L,Manual,Diesel,6300,5,5,Windscreen Crack,0,22,8/22/18,1,23.78,1,0,0,8/22/18
Citroen,Grand C4 Picasso,2018,3,White,2018,MPV,3,1.6L,Manual,Diesel,19790,5,5,Excessive Emissions,0,17,3/17/18,2,276.3984436,2,1,0,3/17/18
Ford,Fiesta,2018,5,White,2018,Hatchback,718,1.0L,Manual,Petrol,13000,5,5,Transmission Issue,3,16,5/16/18,1,277,8,0,0,5/18/18
Ford,Fiesta,2018,5,Black,2017,Hatchback,26306,1.0L,Manual,Petrol,9195,5,5,Sensor Malfunction,0,5,5/5/18,1,519.75,3,0,0,5/5/18
Ford,Fiesta,2021,4,Red,2019,Hatchback,11771,1.0L,Manual,Petrol,14990,5,5,Excessive Emissions,0,23,4/23/21,1,33.491,1,0,0,4/23/21
Bentley,Continental,2016,11,Silver,2003,Coupe,108000,6.0L,Automatic,Petrol,18489,4,2,Alternator Failing,0,10,11/10/16,3,2416.614194,1486.039738,1,0,11/21/16
Ferrari,458,2018,5,Red,2013,Convertible,1200,4.5L,Automatic,Petrol,195889,2,2,Transmission Issue,1,3,5/3/18,3,4962.238716,12,1,0,5/6/18
Ford,Mondeo,2018,7,Grey,2007,Saloon,100000,2.0L,Automatic,Diesel,1500,5,4,Transmission Issue,3,9,7/9/18,1,173.5,8,0,0,7/11/18
Ford,Mondeo,2018,7,Blue,2006,Hatchback,140000,2.0L,Manual,Diesel,895,5,5,Transmission Issue,3,12,7/12/18,1,168.055,8,0,0,7/14/18
Ford,Fiesta,2021,5,Grey,2019,Hatchback,19985,1.0L,Manual,Petrol,11810,5,3,Gear Box Issue,0,7,5/7/21,1,158.1,2,0,0,5/7/21
Ford,C-Max,2018,8,Blue,2014,MPV,105000,1.6L,Manual,Diesel,5595,5,5,Steering Wheel Shaking,0,17,8/17/18,1,25.595,1,0,0,8/17/18
Ford,C-Max,2018,5,Blue,2016,MPV,21692,1.5L,Manual,Diesel,10498,5,5,Warning Light,0,9,5/9/18,1,284.98,9,0,0,5/11/18
Ford,Focus,2018,6,Black,2005,Hatchback,117000,1.6L,Manual,Petrol,850,5,5,Starter Motor Issue,0,10,6/10/18,1,68.5,3,0,0,6/10/18
Ford,Kuga,2018,6,Silver,2010,SUV,108856,2.0L,Manual,Diesel,4995,5,5,Excessive Emissions,0,5,6/5/18,1,24.4955,1,0,0,6/5/18
Citroen,DS4,2018,8,White,2015,Hatchback,27639,1.6L,Manual,Diesel,8900,5,5,Alternator Failing,0,24,8/24/18,2,258,4,0,0,8/25/18
Ford,Focus,2021,5,White,2019,Hatchback,1945,1.5L,Manual,Diesel,17999,5,5,Warning Light,0,4,5/4/21,1,359.99,9,0,0,5/6/21
Ford,Transit Custom,2021,5,Grey,2019,Panel Van,12900,2.0L,Automatic,Diesel,38339,6,5,Engine Issue,3,18,5/18/21,1,4073.9,12,0,0,5/21/21
DS,5,2018,2,Purple,2015,Hatchback,20619,2.0L,Automatic,Diesel,12867,5,5,Sensor Malfunction,0,10,2/10/18,2,763.35,6,0,0,2/11/18
Ford,Fiesta,2018,8,White,2014,Wood,123435,1.5L,Manual,Diesel,4680,20,3,Sensor Malfunction,0,5,8/5/18,1,294,3,1,1,8/5/18
Chevrolet,Captiva,2018,8,White,2011,SUV,43000,2.2L,Manual,Diesel,7995,7,5,Alternator Failing,0,21,8/21/18,1,199.9,2,0,0,8/21/18
Fiat,Tipo,2018,7,Blue,2017,Hatchback,6552,1.3L,Manual,Diesel,9357,5,5,Excessive Emissions,0,1,7/1/18,1,28.4213,1,0,0,7/1/18
Ford,Ka+,2018,6,Gold,2017,Hatchback,5987,1.2L,Manual,Petrol,9295,5,5,Excessive Emissions,0,7,6/7/18,1,28.3655,1,0,0,6/7/18
Honda,Jazz,2018,7,Black,2009,Hatchback,49000,1.2L,Manual,Petrol,3495,5,5,Brake Pads Worn,0,3,7/3/18,1,41.7475,2,0,0,7/3/18
Abarth,595,2021,5,Grey,2019,Hatchback,7000,1.4L,Manual,Petrol,19280,4,3,Electrical Issue,4,26,5/26/21,2,137.84,4,0,0,5/27/21
Ford,Focus,2018,8,Red,2014,Estate,99924,1.5L,Manual,Diesel,7288,5,5,Engine Issue,1,2,8/2/18,1,1617.6,8,0,0,8/4/18
Ferrari,F430,2018,8,Red,2006,Coupe,16629,4.3L,Semi-Automatic,Petrol,95995,2,2,Electrical Issue,4,1,8/1/18,3,407.985,6,0,0,8/2/18
Ford,Edge,2018,5,White,2016,SUV,12191,2.0L,Manual,Diesel,23720,5,5,Transmission Issue,3,24,5/24/18,1,373.48,8,0,0,5/26/18
Honda,Civic,2018,4,Black,2002,Hatchback,128000,2.0L,Manual,Petrol,3000,4,3,Warning Light,0,10,4/10/18,1,210,9,0,0,4/12/18
Ford,Fiesta,2018,5,Black,2005,Hatchback,81245,1.25L,Manual,Petrol,989,5,3,Alternator Failing,0,1,5/1/18,1,59.78,2,0,0,5/1/18
Ford,Focus,2021,5,Silver,2019,Hatchback,8989,1.0L,Manual,Petrol,17299,5,5,Alternator Failing,0,24,5/24/21,1,385.98,2,0,0,5/24/21
DS,4,2018,5,Grey,2016,Hatchback,10520,1.6L,Manual,Diesel,11899,5,5,Steering Wheel Shaking,0,10,5/10/18,2,51.899,2,0,0,5/10/18
Fiat,500L,2018,5,Grey,2015,MPV,44257,1.3L,Automatic,Diesel,8299,5,5,Alternator Failing,0,1,5/1/18,1,205.98,2,0,0,5/1/18
Ford,Mondeo,2018,8,Black,2011,Hatchback,46250,2.0L,Automatic,Diesel,7640,5,5,Brake Pads Worn,0,5,8/5/18,1,43.82,2,0,0,8/5/18
